id,Survived,Pclass,Sex,Age
id616,Survived,2,female,4
id617,Died,2,male,26
id618,Died,3,male,27
id619,Survived,1,male,42
id620,Survived,3,male,20
id621,Died,3,male,21
id622,Died,3,male,21
id623,Died,1,male,61
id624,Died,2,male,57
id625,Survived,1,female,21
id626,Died,3,male,26
id627,Died,3,male,18
id628,Survived,1,male,80
id629,Died,3,male,51
id630,Survived,1,male,32
id631,Died,1,male,30
id632,Died,3,female,9
id633,Survived,2,female,28
id634,Died,3,male,32
id635,Died,2,male,31
id636,Died,3,female,41
id637,Died,3,male,37
id638,Died,3,male,20
id639,Survived,1,female,24
id640,Died,3,female,2
id641,Survived,3,male,32
id642,Survived,3,female,0.75
id643,Survived,1,male,48
id644,Died,3,male,19
id645,Survived,1,male,56
id646,Died,3,male,21
id647,Survived,3,female,23
id648,Died,3,male,23
id649,Survived,2,female,18
id650,Died,3,male,21
id651,Survived,3,female,16
id652,Died,3,female,18
id653,Died,2,male,24
id654,Died,3,male,27
id655,Died,3,female,32
id656,Died,2,male,23
id657,Died,1,male,58
id658,Survived,1,male,50
id659,Died,3,male,40
id660,Died,1,male,47
id661,Died,3,male,36
id662,Survived,3,male,20
id663,Died,2,male,32
id664,Died,2,male,25
id665,Died,3,male,49
id666,Died,3,male,43
id667,Survived,1,female,48
id668,Survived,2,female,40
id669,Died,1,male,31
id670,Died,2,male,70
id671,Survived,2,male,31
id672,Died,2,male,19
id673,Died,3,male,18
id674,Died,3,male,24.5
id675,Survived,3,female,18
id676,Died,3,female,43
id677,Survived,1,male,36
id678,Died,3,female,28
id679,Survived,1,male,27
id680,Died,3,male,20
id681,Died,3,male,14
id682,Died,2,male,60
id683,Died,2,male,25
id684,Died,3,male,14
id685,Died,3,male,19
id686,Died,3,male,18
id687,Survived,1,female,15
id688,Survived,1,male,31
id689,Survived,3,female,4
id690,Survived,3,male,37
id691,Died,3,male,25
id692,Died,1,male,60
id693,Died,2,male,52
id694,Died,3,male,44
id695,Survived,3,female,19
id696,Died,1,male,49
id697,Died,3,male,42
id698,Survived,1,female,18
id699,Survived,1,male,35
id700,Died,3,female,18
id701,Died,3,male,25
id702,Died,3,male,26
id703,Died,2,male,39
id704,Survived,2,female,45
id705,Survived,1,male,42
id706,Survived,1,female,22
id707,Survived,3,male,4
id708,Survived,1,female,24
id709,Died,1,male,41
id710,Survived,1,male,48
id711,Died,3,male,29
id712,Died,2,male,52
id713,Died,3,male,19
id714,Survived,1,female,38
id715,Survived,2,female,27
id716,Died,3,male,33
id717,Survived,2,female,6
id718,Died,3,male,17
id719,Died,2,male,34
id720,Died,2,male,50
id721,Survived,1,male,27
id722,Died,3,male,20
id723,Survived,2,female,30
id724,Survived,3,female,28
id725,Died,2,male,25
id726,Died,3,female,25
id727,Survived,1,female,29
id728,Died,3,male,11
id729,Died,2,male,41
id730,Died,2,male,23
id731,Died,2,male,23
id732,Died,3,male,28.5
id733,Died,3,female,48
id734,Survived,1,male,35
id735,Died,3,male,20
id736,Died,3,male,32
id737,Survived,1,male,45
id738,Died,1,male,36
id739,Survived,1,female,21
id740,Died,3,male,24
id741,Survived,3,male,31
id742,Died,1,male,70
id743,Died,3,male,16
id744,Survived,2,female,30
id745,Died,1,male,19
id746,Died,3,male,31
id747,Survived,2,female,4
id748,Survived,3,male,6
id749,Died,3,male,33
id750,Died,3,male,23
id751,Survived,2,female,48
id752,Survived,2,male,0.67
id753,Died,3,male,28
id754,Died,2,male,18
id755,Died,3,male,34
id756,Survived,1,female,33
id757,Died,3,male,23
id758,Died,3,male,41
id759,Survived,3,male,20
id760,Survived,1,female,36
id761,Died,3,male,16
id762,Survived,1,female,51
id763,Died,1,male,46
id764,Died,3,female,30.5
id765,Died,3,male,28
id766,Died,3,male,32
id767,Died,3,male,24
id768,Died,3,male,48
id769,Died,2,female,57
id770,Died,3,male,29
id771,Survived,2,female,54
id772,Died,3,male,18
id773,Died,3,male,20
id774,Survived,3,female,5
id775,Died,3,male,22
id776,Survived,1,female,43
id777,Survived,3,female,13
id778,Survived,1,female,17
id779,Died,1,male,29
id780,Died,3,male,35
id781,Died,3,male,25
id782,Died,3,male,25
id783,Survived,3,female,18
id784,Died,3,male,8
id785,Survived,3,male,1
id786,Died,1,male,46
id787,Died,3,male,20
id788,Died,2,male,16
id789,Died,3,female,21
id790,Died,1,male,43
id791,Died,3,male,25
id792,Died,2,male,39
id793,Survived,1,female,49
id794,Survived,3,female,31
id795,Died,3,male,30
id796,Died,3,female,30
id797,Died,2,male,34
id798,Survived,2,female,31
id799,Survived,1,male,11
id800,Survived,3,male,0.42
id801,Survived,3,male,27
id802,Died,3,male,31
id803,Died,1,male,39
id804,Died,3,female,18
id805,Died,2,male,39
id806,Survived,1,female,33
id807,Died,3,male,26
id808,Died,3,male,39
id809,Died,2,male,35
id810,Died,3,female,6
id811,Died,3,male,30.5
id812,Died,1,male,39
id813,Died,3,female,23
id814,Died,2,male,31
id815,Died,3,male,43
id816,Died,3,male,10
id817,Survived,1,female,52
id818,Survived,3,male,27
id819,Died,1,male,38
id820,Survived,3,female,27
id821,Died,3,male,2
id822,Died,3,male,36
id823,Died,3,male,23
id824,Survived,2,male,1
id825,Survived,3,male,19
id826,Survived,1,female,62
id827,Survived,3,female,15
id828,Survived,2,male,0.83
id829,Died,3,male,30
id830,Died,3,male,23
id831,Died,3,male,18
id832,Survived,1,female,39
id833,Died,3,male,21
id834,Died,3,male,20
id835,Survived,3,male,32
id836,Survived,1,male,29
id837,Died,3,male,20
id838,Died,2,male,16
id839,Survived,1,female,30
id840,Died,3,male,34.5
id841,Died,3,male,17
id842,Died,3,male,42
id843,Died,3,male,18
id844,Died,3,male,35
id845,Died,2,male,28
id846,Survived,1,female,40
id847,Died,3,male,4
id848,Died,3,male,74
id849,Died,3,female,9
id850,Survived,1,female,16
id851,Died,2,female,44
id852,Survived,3,female,18
id853,Survived,1,female,45
id854,Survived,1,male,51
id855,Survived,3,female,24
id856,Died,3,male,30
id857,Died,3,male,41
id858,Died,2,male,21
id859,Survived,1,female,48
id860,Died,3,female,14
id861,Died,2,male,24
id862,Survived,2,female,42
id863,Survived,2,female,27
id864,Died,1,male,31
id865,Died,3,male,23
id866,Survived,3,male,4
id867,Died,3,male,26
id868,Survived,1,female,47
id869,Died,1,male,33
id870,Died,3,male,47
id871,Survived,2,female,28
id872,Survived,3,female,15
id873,Died,3,male,20
id874,Died,3,male,19
id875,Died,3,male,23
id876,Survived,1,female,56
id877,Survived,2,female,25
id878,Died,3,male,33
id879,Died,3,female,22
id880,Died,2,male,28
id881,Died,3,male,25
id882,Died,3,female,39
id883,Died,2,male,27
id884,Survived,1,female,19
id885,Died,3,female,7
id886,Survived,1,male,26
id887,Died,3,male,32
